ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Meta: add-specification","Meta: model-name","Meta: _jet_woo_template","Meta: _template_type"
3315,simple,ETECH0058,"Brother HL-L2321D Single-Function Monochrome Laser Printer with Auto Duplex Printing",1,0,visible,"MONO LASER PRINTER, PRINT ONLY","UP TO 30 PPM, 8 MB MEMORY, 266 MHz PROCESSOR, 10,000 PAGES DUTY CYCLE, 250 PAGES PAPER TRAY, INBOX YIELD 2,600 PAGES (TONER)\nMODEL - CARTRIDGE :- HL-L2321D",,,taxable,,1,30,,0,0,,,,,1,,,10690.00,Uncategorized,"Brother Printer",,https://etechnopolis.thinksurfmedia.com/wp-content/uploads/2023/05/HL-L2321D-3.jpg,,,,,,,,,0,,HL-L2321D,,default
3316,simple,ETECH0059,"Brother Hl-L2351DW Single function printer with Automatic 2-sided printing and Wireless connectivity",1,0,visible,"MONO LASER PRINTER, PRINT ONLY, WI-FI, WI-FI DIRECT","UP TO 30 PPM, 64 MB MEMORY, 600 MHz PROCESSOR, 15,000 PAGES DUTY CYCLE, 250 PAGES PAPER TRAY, INBOX YIELD 3,000 PAGES (TONER)\nMODEL - CARTRIDGE :- HL-L2351DW",,,taxable,,1,30,,0,0,,,,,1,,,13490.00,Uncategorized,"Brother Printer",,https://etechnopolis.thinksurfmedia.com/wp-content/uploads/2023/05/HL-L2351DW-1.jpg,,,,,,,,,0,,,,
3317,simple,ETECH0060,"Brother HL-L2361DN Monochrome Laser Printer with Auto Duplex Printing & Network",1,0,visible,"MONO LASER PRINTER, PRINT ONLY, NETWORK","UP TO 30 PPM, 32 MB MEMORY, 266 MHz PROCESSOR, 10,000 PAGES DUTY CYCLE, 250 PAGES PAPER TRAY, INBOX YIELD 2,600 PAGES (TONER)\nMODEL - CARTRIDGE :- HL-L2361DN",,,taxable,,1,30,,0,0,,,,,1,,,14490.00,Uncategorized,"Brother Printer",,https://etechnopolis.thinksurfmedia.com/wp-content/uploads/2023/05/HL-L2361DN-1.jpg,,,,,,,,,0,,,,
3318,simple,ETECH0061,"Brother HL-L2366DW Monochrome Laser Printer with Wi-fi, Network & Auto Duplex Printing (Black)",1,0,visible,"MONO LASER PRINTER, PRINT ONLY, NETWORK, WI-FI, WI-FI DIRECT","UP TO 30 PPM, 32 MB MEMORY, 266 MHz PROCESSOR, 10,000 PAGES DUTY CYCLE, 250 PAGES PAPER TRAY, INBOX YIELD 2,600 PAGES (TONER)\nMODEL - CARTRIDGE :- HL-L2366DW",,,taxable,,1,30,,0,0,,,,,1,,,14990.00,Uncategorized,"Brother Printer",,https://etechnopolis.thinksurfmedia.com/wp-content/uploads/2023/05/HL-L2366DW-1.jpg,,,,,,,,,0,,,,
3319,simple,ETECH0062,"Brother HL-L5000D Business Laser Printer with Auto Duplex Printing",1,0,visible,"MONO LASER PRINTER, PRINT ONLY, DUPLEX PRINT","UP TO 40 PPM, 512 MB MEMORY, 800 MHz PROCESSOR, 50,000 PAGES DUTY CYCLE, IEEE 1284 PARALLEL INTERFACE, 250 PAGES PAPER TRAY, MAX. 1,040 PAGES OPTIONAL TRAY, INBOX YIELD 8,000 PAGES (TONER)\nMODEL - CARTRIDGE :- HL-L5000D",,,taxable,,1,30,,0,0,,,,,1,,,26190.00,Uncategorized,"Brother Printer",,https://etechnopolis.thinksurfmedia.com/wp-content/uploads/2023/05/HL-L5000D-1.jpg,,,,,,,,,0,,,,
3320,simple,ETECH0063,"Brother HL-L5100DN Business Laser Printer with Networking and Duplex Printing",1,0,visible,"MONO LASER PRINTER, PRINT ONLY, DUPLEX PRINT, NETWORK","UP TO 40 PPM, 512 MB MEMORY, 800 MHz PROCESSOR, 50,000 PAGES DUTY CYCLE, 250 PAGES PAPER TRAY, MAX. 1,040 PAGES OPTIONAL TRAY, INBOX YIELD 8,000 PAGES (TONER)\nMODEL - CARTRIDGE :- HL-L5100DN",,,taxable,,1,30,,0,0,,,,,1,,,28290.00,Uncategorized,"Brother Printer",,https://etechnopolis.thinksurfmedia.com/wp-content/uploads/2023/05/HL-L5100DN-1.jpg,,,,,,,,,0,,,,
3321,simple,ETECH0064,"Brother HL-L6200DW Business Laser Printer with Wi-Fi, Network & Auto Duplex Printing (Black)",1,0,visible,"MONO LASER PRINTER, PRINT, DUPLEX PRINT, NETWORK (GIGABIT), WI-FI, WI-FI DIRECT","UP TO 50 PPM, 1 GB MEMORY, 800 MHz PROCESSOR, 1,00,000 PAGES DUTY CYCLE, 520 PAGES PAPER TRAY, MAX. 1,040 PAGES OPTIONAL TRAY, INBOX YIELD 8,000 PAGES (TONER)\nMODEL - CARTRIDGE :- HL-L6200DW",,,taxable,,1,30,,0,0,,,,,1,,,38790.00,Uncategorized,"Brother Printer",,https://etechnopolis.thinksurfmedia.com/wp-content/uploads/2023/05/HL-L6200DW-3.jpg,,,,,,,,,0,,HL-L6200DW,,default
3322,simple,ETECH0065,"Brother DCP-L2520D Multi-Function Monochrome Laser Printer with Auto-Duplex Printing",1,0,visible,"MONO LASER MULTI-FUNCTION CENTRE'S, PRINT, SCAN, COPY, DUPLEX PRINT","UP TO 30 PPM, 32GB MEMORY, 266 MHz PROCESSOR, 10,000 PAGES DUTY CYCLE, 250 PAGES PAPER TRAY, INBOX YIELD 2,600 PAGES (TONER)\nMODEL - CARTRIDGE :- DCP-L2520D",,,taxable,,1,30,,0,0,,,,,1,,,16490.00,Uncategorized,"Brother Printer",,https://etechnopolis.thinksurfmedia.com/wp-content/uploads/2023/05/DCP-L2520D-2.jpg,,,,,,,,,0,,DCP-L2520D,,default
3323,simple,ETECH0066,"Brother DCP-L2531DW Multi-Function Monochrome Laser Printer with Auto-Duplex Printing & Wi-Fi",1,0,visible,"MONO LASER MULTI-FUNCTION CENTRE'S, PRINT, SCAN, COPY, DUPLEX PRINT, WI-FI, WI-FI DIRECT","UP TO 30 PPM, 32MB MEMORY, 600 MHz PROCESSOR, 15,000 PAGES DUTY CYCLE, 250 PAGES PAPER TRAY, INBOX YIELD 3,000 PAGES (TONER)\nMODEL - CARTRIDGE :- DCP-L2531DW",,,taxable,,1,30,,0,0,,,,,1,,,18490.00,Uncategorized,"Brother Printer",,https://etechnopolis.thinksurfmedia.com/wp-content/uploads/2023/05/DCP-L2531DW-1.jpg,,,,,,,,,0,,,,
3324,simple,ETECH0067,"HP Laserjet 136w Compact Monochrome Multifunction Printer with Direct Wi-Fi (Print, Scan, Copy)",1,0,visible,"MONO LASER MULTI-FUNCTION CENTRE'S, PRINT, SCAN, COPY, DUPLEX PRINT, NETWORK, WI-FI, WI-FI DIRECT","UP TO 30 PPM, 32MB MEMORY, 266 MHz PROCESSOR, 10,000 PAGES DUTY CYCLE, 250 PAGES PAPER TRAY, 35 PAGES ADF, INBOX YIELD 2,600 PAGES (TONER)\nMODEL - CARTRIDGE :- DCP-L2541DW",,,taxable,,1,30,,0,0,,,,,1,,,24490.00,Uncategorized,"Brother Printer",,https://etechnopolis.thinksurfmedia.com/wp-content/uploads/2023/05/DCP-L2531DW-1-2.jpg,,,,,,,,,0,,DCP-L2520D,,default
